tnum	tval	tname	tplateau
100	20	System Prototyping	Two_to_five_years
100	20	x86 Servers With Greater Than Eight Sockets	Less_than_two_years
107	24	Activity Streams	Two_to_five_years
107	24	Appliance-Based Replication	Two_to_five_years
107	24	Business Process Outsourcing	Two_to_five_years
107	24	Database Audit and Protection	Two_to_five_years
107	24	Distributed Order Management	Five_to_10_years
107	24	Information Life Cycle Management	Two_to_five_years
107	24	MDM of Product Data	Two_to_five_years
107	24	Memory Overcommit	Less_than_two_years
107	24	Simulation	Five_to_10_years
113	28	Application Security  as a Service	Two_to_five_years
113	28	Application Testing Services	Less_than_two_years
113	28	Corporate Compliance and Oversight	Two_to_five_years
113	28	Enterprise Information Archiving	Two_to_five_years
113	28	ICM/Commission Technologies	Two_to_five_years
113	28	Integrated Systems: Infrastructure	Less_than_two_years
113	28	Knowledge Process Services	Five_to_10_years
113	28	Public Telematics and Intelligent Transportation Systems	More_than_10_years
113	28	R&D Analytics	Two_to_five_years
113	28	Territory Management	Less_than_two_years
119	32	Broadband for All	Five_to_10_years
119	32	Data Deduplication	Two_to_five_years
119	32	Enterprise Architecture Tools	Two_to_five_years
119	32	IT Event Correlation and Analysis Tools	Two_to_five_years
119	32	IT Infrastructure Utility	Two_to_five_years
119	32	Location-Aware Applications	Five_to_10_years
119	32	Mobile Device Management for India	Two_to_five_years
119	32	Remote Diagnostics	Two_to_five_years
119	32	Rich Presence	Two_to_five_years
119	32	Sales Contract Management	Two_to_five_years
119	32	Social Profiles	Less_than_two_years
123	35	Application Control	Less_than_two_years
123	35	Data Federation/Virtualization	Two_to_five_years
123	35	Enterprise Content Management Suites	Less_than_two_years
123	35	Integration Brokerage	Two_to_five_years
123	35	Static Application Security Testing	Two_to_five_years
123	35	Virtual Switch	Less_than_two_years
127	38	Continuous Data Protection	Less_than_two_years
127	38	IHE XDS.b	Two_to_five_years
127	38	Load Forecasting	Two_to_five_years
127	38	Software-as-a-Service Supply Chain Execution	Five_to_10_years
127	38	Storage Tape Encryption	Less_than_two_years
132	42	Continuous Integration	Less_than_two_years
132	42	Database Encryption	Two_to_five_years
132	42	IAM Consulting and System Integration Services	Less_than_two_years
132	42	IT Infrastructure Utility	Less_than_two_years
132	42	Lights-Out Recovery Operations Management	Less_than_two_years
132	42	Project-Oriented Agile Development Methodology	Less_than_two_years
132	42	Storage Resource Management	Two_to_five_years
136	45	Accounts Payable BPO	Two_to_five_years
136	45	Advanced Analytics for Government	Less_than_two_years
136	45	Direct Chip Cooling	Less_than_two_years
136	45	External Storage Virtualization	Two_to_five_years
136	45	IP Service Assurance	Two_to_five_years
136	45	Server Virtual I/O	Less_than_two_years
136	45	Static Data Masking	Two_to_five_years
139	47	Marketing and Customer Management Consulting	Less_than_two_years
139	47	Offload Engines	Less_than_two_years
139	47	Shared OS Virtualization (Nonmainframe)	Less_than_two_years
142	49	"Data Encryption Technologies, HDDs and SSDs"	Two_to_five_years
142	49	Factory Scheduling	Two_to_five_years
142	49	Linux on Four- to 16-Socket Servers	Less_than_two_years
142	49	SIP Communications	Less_than_two_years
142	49	Unified Communications	Two_to_five_years
142	49	User Administration/Provisioning	Two_to_five_years
142	49	Virtual I/O	Less_than_two_years
148	52	AUTOSAR	Less_than_two_years
148	52	Bare-Metal Restore	Less_than_two_years
148	52	Composite Applications	Less_than_two_years
148	52	Data Quality Tools	Less_than_two_years
